X	Y	Z	Vp	Vs
93	125	179	2.916548	1.342064
127	165	96	3.161124	1.552889
113	5	124	2.923577	1.348124
93	125	180	2.999574	1.413633
33	45	10	3.146247	1.540065
53	5	156	3.057335	1.463423
93	105	131	2.658513	1.119638
83	65	85	3.277416	1.653133
83	45	138	3.039922	1.448413
103	45	143	2.169292	1.307188
113	5	194	3.145505	1.539425
77	111	196	2.282263	0.795311
77	25	181	2.15933	1.290338
83	65	132	3.156656	1.549037
83	165	193	2.920061	1.345093
107	131	125	2.72873	1.180165
97	25	160	2.192424	1.37103
93	125	94	2.152267	1.304329
83	165	182	2.785335	1.228958
37	191	13	3.213601	1.598124
17	115	6	2.17438	1.341535
107	131	174	2.188195	1.364309
7	165	19	2.879499	1.310128
107	111	99	2.171732	1.311131
83	165	86	2.190627	1.368124
113	5	154	2.165112	1.325788
83	45	168	2.154344	1.281648
77	25	109	3.350704	1.716307
127	85	15	2.153176	1.30576
113	5	150	3.080861	1.483702
83	65	144	3.282776	1.657753
43	85	91	3.302739	1.674961
53	5	104	2.168853	1.306386
7	191	16	2.97527	1.392683
77	111	143	2.167701	1.330007
93	5	140	2.146218	1.267532
133	125	181	2.97242	1.390226
73	91	106	3.037921	1.446688
127	85	104	3.308129	1.679607
67	71	103	2.174517	1.341744
107	111	168	2.164507	1.324826
123	45	178	3.018978	1.430359
123	45	23	3.212847	1.597474
57	25	133	2.91725	1.34267
143	71	5	3.256804	1.635365
83	65	90	3.272827	1.649177
133	125	137	3.032688	1.442177
27	5	146	2.158515	1.288848
57	25	160	3.132162	1.527923
27	151	0	2.216681	1.411342
33	45	148	2.142867	1.288156
107	171	87	3.186534	1.574792
107	131	128	2.93344	1.356625
103	45	161	3.252236	1.631427
87	85	112	2.148076	1.27074
63	45	123	2.924985	1.349337
53	5	162	2.996707	1.411162
93	5	102	3.275121	1.651154
123	45	130	3.131422	1.527285
77	111	161	2.120076	1.247383
93	125	159	2.909531	1.336016
113	5	109	3.055882	1.46217
73	91	191	2.607698	1.075836
93	5	87	3.348372	1.714296
67	71	189	2.104367	1.216985
73	91	177	2.59092	1.061373
83	165	198	2.758273	1.205632
113	5	192	3.095316	1.496162
83	165	94	2.175463	1.343202
43	85	123	3.040646	1.449037
107	131	199	3.071173	1.475351
77	111	146	2.156563	1.311278
107	111	170	2.144204	1.29031
113	5	190	3.043544	1.451535
53	5	121	2.178695	1.322655
107	171	96	3.045047	1.45283
63	45	107	3.30197	1.674298
103	45	135	2.842797	1.278491
77	25	163	2.164764	1.299292
73	5	136	3.042908	1.450986
93	5	86	3.311212	1.682265
57	25	156	3.028354	1.438441
83	65	155	2.979549	1.396371
127	165	159	3.112632	1.511089
133	125	134	3.007468	1.420438
73	191	23	3.3012	1.673635
97	25	157	2.195467	1.376146
133	125	149	2.955364	1.375524
127	85	97	3.161473	1.55319
143	51	18	2.139948	1.2829
83	65	137	3.271299	1.64786
53	5	89	2.23343	1.43898
103	65	164	3.004596	1.417962
127	165	137	3.158889	1.550963
103	65	137	2.17351	1.313942
107	191	9	3.128463	1.524735
33	45	194	3.089502	1.49115
77	25	91	2.180138	1.325248
133	125	176	2.932029	1.355409
133	125	182	2.941912	1.363928
103	65	170	2.857298	1.290991
97	25	184	2.116768	1.241206
103	65	99	2.963883	1.382867
133	125	194	2.892741	1.321543
83	65	178	3.096784	1.497427
107	171	184	2.973133	1.39084
133	125	5	2.777196	1.221943
93	125	196	2.611581	1.079183
27	5	195	3.250715	1.630116
53	125	171	2.868383	1.300546
87	85	99	2.154161	1.281346
83	165	82	3.294282	1.667671
73	91	166	2.158833	1.315169
103	65	134	3.146247	1.540065
67	71	108	2.206016	1.393445
7	191	21	2.130066	1.26541
77	25	102	3.42361	1.779151
83	165	141	2.878108	1.308929
53	5	102	3.173219	1.563315
77	111	174	2.878108	1.308929
107	111	84	3.235529	1.617026
97	25	121	3.068256	1.472837
123	45	87	2.156915	1.286008
93	105	89	3.038474	1.447165
107	131	144	3.018978	1.430359
93	105	180	3.044269	1.452159
53	5	187	2.136136	1.276199
83	65	133	3.110752	1.509468
43	85	122	3.074822	1.478497
107	85	142	2.227411	1.42911
63	45	124	3.025467	1.435952
7	31	5	3.076283	1.479756
103	65	87	3.101925	1.501859
103	45	157	3.095316	1.496162
53	5	122	2.168139	1.305102
133	125	126	3.224173	1.607237
83	65	163	2.920061	1.345093
127	165	166	2.162673	1.295879
43	85	21	2.212719	1.404968
33	45	88	3.172484	1.562681
7	75	4	2.188775	1.365208
127	165	120	3.297356	1.670321
83	165	140	2.914442	1.340249
93	125	158	2.885069	1.31493
77	111	189	2.642147	1.105531
127	165	126	3.141794	1.536226
123	45	0	3.323565	1.692913
77	25	138	2.128063	1.26187
83	45	159	3.119598	1.517094
73	91	109	2.131216	1.267524
97	25	167	2.138519	1.280319
107	85	163	3.225686	1.608541
113	5	102	3.28201	1.657092
87	85	192	2.804393	1.245387
107	131	81	3.460894	1.811291
33	45	105	2.166672	1.302526
83	165	162	2.182879	1.35539
87	85	114	3.165597	1.556745
53	125	130	2.146292	1.293775
93	125	128	2.154344	1.281648
83	165	151	3.091665	1.493015
127	165	80	3.143183	1.537424
33	45	93	3.171569	1.561892
107	111	125	2.69942	1.1549
113	5	134	2.170491	1.334772
113	5	156	2.206902	1.394893
53	5	164	3.149218	1.542626
33	45	115	3.323565	1.692913
113	5	0	3.186534	1.574792
107	85	189	2.946863	1.368196
77	111	141	2.166068	1.327325
73	91	108	2.157815	1.313403
83	65	173	3.216619	1.600726
53	125	81	3.185035	1.5735
83	45	145	3.1056	1.505028
57	25	159	3.098986	1.499326
83	65	161	2.930619	1.354194
77	25	143	2.222133	1.420006
127	165	124	3.1574	1.549679
133	125	196	2.932029	1.355409
83	165	101	2.131814	1.268648
103	65	108	2.800301	1.24186
77	111	188	2.60059	1.069708
83	165	80	3.268243	1.645226
143	65	25	2.166304	1.327708
53	5	95	3.456914	1.80786
43	85	148	2.155782	1.284057
107	171	155	3.243874	1.62422
73	5	106	3.349149	1.714967
7	191	2	2.152152	1.304149
107	111	197	2.876717	1.30773
17	115	15	3.217374	1.601377
93	105	182	3.003161	1.416724
53	5	141	2.92921	1.352979
133	125	11	3.072632	1.476609
53	125	122	3.052899	1.459599
103	65	150	2.191876	1.370137
53	5	84	2.169061	1.332298
57	25	158	3.099721	1.499959
43	85	174	3.072632	1.476609
97	25	176	2.150453	1.30114
33	45	167	3.170822	1.561249
83	65	174	3.022582	1.433465
53	125	22	3.407046	1.764874
107	171	85	3.272827	1.649177
107	171	187	3.044993	1.452784
87	85	121	2.953946	1.374301
53	5	112	2.182672	1.32919
107	111	143	2.716711	1.169805
133	125	190	2.882283	1.312528
127	165	118	2.160917	1.293103
83	165	164	2.183576	1.356619
27	5	21	3.396822	1.756061
127	165	85	2.15407	1.281195
73	5	188	3.186534	1.574792
113	5	142	2.122975	1.252636
127	165	156	3.288909	1.663039
53	5	152	2.954655	1.374913
77	25	169	2.159531	1.316403
73	5	115	3.265953	1.643251
73	91	105	2.15981	1.29123
73	91	126	2.795533	1.237749
77	111	173	3.024024	1.434709
133	125	172	3.121813	1.519002
113	5	195	3.078474	1.481645
107	111	163	2.157712	1.313226
77	111	118	2.148076	1.27074
57	25	106	3.167836	1.558674
73	91	95	2.202344	1.387627
107	171	137	3.023303	1.434087
27	95	20	2.166891	1.328667
53	125	153	2.159531	1.316403
27	5	124	3.172316	1.562536
83	165	196	3.018978	1.430359
103	45	136	2.864916	1.297557
33	45	92	3.295819	1.668996
77	111	84	2.161439	1.29392
63	45	168	2.156139	1.310569
83	65	122	3.268243	1.645226
33	45	11	3.168582	1.559318
33	45	116	3.189533	1.577378
63	45	84	2.166951	1.30301
77	25	168	2.153063	1.305581
133	125	139	3.067527	1.472208
73	5	166	3.155167	1.547754
83	165	157	2.131887	1.268788
77	25	191	2.166485	1.302203
83	165	156	2.143075	1.288488
43	85	118	2.993309	1.408232
33	45	3	3.013219	1.425395
7	31	21	2.198575	1.381673
83	165	81	3.395251	1.754707
107	85	103	3.310441	1.6816
73	5	160	3.236287	1.617679
7	75	7	2.154071	1.307188
87	85	130	2.901827	1.329375
127	85	138	3.079936	1.482905
97	25	199	3.264427	1.641936
143	51	8	3.06607	1.470952
83	65	177	3.111489	1.510103
127	85	192	2.956783	1.376747
107	85	158	3.145505	1.539425
107	131	142	3.1574	1.549679
103	45	108	2.815327	1.254812
107	131	134	3.14402	1.538145
113	5	6	3.111489	1.510103
73	5	190	3.259089	1.637335
97	25	170	2.150366	1.300978
127	165	162	2.16368	1.297506
27	5	170	3.206819	1.592278
73	5	82	3.49928	1.844379
33	45	95	3.28201	1.657092
53	5	167	3.155167	1.547754
87	85	162	2.622607	1.088687
87	85	161	2.734754	1.185358
103	45	146	3.072237	1.476268
123	45	123	2.971708	1.389613
83	45	163	2.15407	1.281195
43	85	109	3.217374	1.601377
43	85	120	3.044993	1.452784
107	111	123	2.842797	1.278491
83	165	158	2.143489	1.289151
93	125	127	3.100328	1.500483
127	165	114	3.183524	1.572197
67	71	157	2.161543	1.294084
107	111	153	2.722716	1.174981
107	171	162	3.215865	1.600075
107	171	114	3.26519	1.642594
93	105	140	2.195209	1.375703
123	45	168	2.786693	1.230129
73	191	19	2.174517	1.341744
83	65	145	3.189533	1.577378
107	85	183	3.123289	1.520275
107	131	198	3.10928	1.508199
127	165	105	3.256804	1.635365
33	45	176	3.083593	1.486057
27	95	12	3.188033	1.576085
43	85	14	2.161555	1.32009
113	5	86	3.193285	1.580612
73	91	186	2.748848	1.197507
43	85	134	3.171749	1.562048
57	25	83	3.227198	1.609845
127	165	197	3.079205	1.482275
73	91	165	2.151062	1.302279
57	25	155	3.003161	1.416724
83	165	121	3.039922	1.448413
143	15	22	3.02114	1.432223
57	25	132	2.905327	1.332392
127	85	116	3.132162	1.527923
123	45	113	3.013219	1.425395
97	25	132	2.160508	1.318161
127	85	141	3.319701	1.689582
93	105	165	2.902526	1.329978
57	25	142	2.839353	1.275522
133	125	6	2.90883	1.335411
87	85	166	2.681549	1.139495
97	25	89	3.269007	1.645884
103	45	139	2.157001	1.286158
73	5	198	3.269771	1.646542
113	5	130	2.15835	1.28855
127	85	119	3.124028	1.520912
103	45	119	3.112225	1.510738
83	45	88	3.096784	1.497427
57	25	144	2.889949	1.319136
63	45	120	2.99098	1.406225
67	71	151	3.085179	1.487424
7	75	8	2.121266	1.24949
93	5	180	2.16654	1.328092
7	191	13	2.141794	1.286375
43	85	13	2.166422	1.3279
103	45	97	2.15657	1.285408
123	45	163	2.971708	1.389613
53	5	86	2.190345	1.367676
33	45	101	2.162368	1.29539
107	131	132	2.728061	1.179589
93	5	93	3.084459	1.486804
83	165	105	2.135587	1.275279
77	111	109	2.104999	1.218335
127	85	127	2.978122	1.395141
27	5	107	3.324338	1.693579
93	125	191	2.846935	1.282058
93	125	82	3.216619	1.600726
53	125	199	3.052975	1.459665
107	85	134	2.869077	1.301144
73	5	163	3.203808	1.589682
73	91	110	2.130454	1.266115
57	25	195	3.219639	1.603329
93	105	167	2.879499	1.310128
53	5	154	2.980262	1.396986
87	85	132	2.999574	1.413633
97	25	140	3.048614	1.455905
107	85	121	2.748848	1.197507
53	5	88	2.204512	1.391025
67	71	177	2.154435	1.281799
53	125	183	2.158017	1.287952
83	45	154	3.164407	1.555718
73	191	11	2.127232	1.260449
107	171	129	2.978835	1.395756
103	65	144	2.193635	1.373036
33	45	136	2.906728	1.333599
73	5	81	3.435477	1.789381
113	5	112	3.000291	1.414251
103	65	169	2.842108	1.277897
53	5	181	3.101051	1.501106
107	85	194	2.780585	1.224864
83	45	92	3.242356	1.622911
107	171	175	2.98526	1.401294
43	85	196	2.876717	1.30773
7	191	9	3.055155	1.461543
97	25	144	2.172628	1.312537
123	45	160	2.878108	1.308929
77	111	138	3.149028	1.542462
123	45	84	2.148779	1.271991
133	125	122	3.063156	1.468441
133	125	98	3.185784	1.574146
103	45	94	2.158017	1.287952
33	45	8	3.117385	1.515186
67	71	164	2.16348	1.297181
113	5	188	3.079205	1.482275
73	91	96	2.189063	1.365657
27	5	176	3.14699	1.540705
77	111	149	2.195338	1.375925
107	85	92	2.235072	1.441551
83	65	134	3.240079	1.620948
27	151	22	2.198575	1.381673
7	165	4	2.181453	1.352926
53	5	155	2.942619	1.364538
73	5	80	3.374096	1.736471
107	171	120	2.870465	1.302341
133	125	87	3.303509	1.675625
53	125	11	2.136045	1.276046
7	191	1	3.135123	1.530476
103	45	150	2.138433	1.280167
33	45	110	2.159889	1.291378
107	111	80	3.212847	1.597474
27	5	93	3.190283	1.578024
83	65	149	2.955364	1.375524
73	91	183	2.632364	1.097098
107	111	111	2.153515	1.280289
113	5	122	2.983117	1.399447
33	45	134	2.156245	1.310746
93	125	142	2.156563	1.311278
143	65	12	2.16793	1.330389
107	85	122	2.754231	1.202147
97	25	183	2.168837	1.331916
133	125	121	2.956783	1.376747
93	105	157	2.760971	1.207957
83	65	196	3.159634	1.551605
33	45	141	3.10539	1.504846
103	45	173	3.003878	1.417343
77	111	162	2.148101	1.296895
127	85	174	2.172085	1.337617
83	45	103	2.159889	1.291378
77	111	122	2.779907	1.22428
27	5	137	2.995275	1.409927
73	5	192	3.315069	1.685589
103	65	81	3.10119	1.501226
133	125	89	3.328206	1.696913
103	65	121	3.08213	1.484796
27	5	24	3.319701	1.689582
93	105	90	3.111489	1.510103
107	85	110	3.093115	1.494265
93	5	196	3.182788	1.571563
83	45	89	3.117385	1.515186
53	125	140	2.971708	1.389613
123	45	106	2.917953	1.343275
73	191	8	2.878108	1.308929
83	65	173	3.216619	1.600726
107	111	138	2.764345	1.210866
73	91	194	2.70739	1.161771
83	165	125	2.680229	1.138357
97	25	91	3.389757	1.749971
93	5	173	3.034362	1.44362
67	71	199	2.81259	1.252453
107	85	179	3.3089	1.680272
107	171	174	2.973133	1.39084
67	71	130	2.154161	1.281346
107	111	162	2.165712	1.326749
57	25	175	2.789411	1.232472
63	45	178	2.91725	1.34267
27	5	80	3.149218	1.542626
83	45	100	3.144644	1.538683
103	65	115	2.851077	1.285628
133	125	86	3.298124	1.670983
73	91	152	2.161647	1.294247
127	85	123	2.897631	1.325758
83	165	174	2.906728	1.333599
113	5	87	3.050797	1.457787
33	45	163	3.243115	1.623565
107	85	81	3.220526	1.604093
97	25	123	3.050797	1.457787
77	25	173	3.16336	1.554817
43	85	156	2.165056	1.299778
83	65	151	2.956783	1.376747
83	65	144	3.282776	1.657753
93	125	117	2.696104	1.152041
103	65	118	2.76367	1.210284
63	45	88	2.180801	1.326337
27	5	138	2.950403	1.371247
83	65	136	3.212093	1.596824
87	85	131	3.02691	1.437196
33	45	109	2.178695	1.322655
27	5	164	3.154423	1.547113
127	85	21	3.305818	1.677615
103	65	153	2.156984	1.311987
73	5	128	2.202501	1.38787
97	25	190	2.123729	1.254072
83	45	126	3.164852	1.556102
107	131	136	3.021861	1.432844
97	25	80	2.953946	1.374301
93	125	182	2.973845	1.391454
77	25	147	2.141164	1.285169
77	25	105	3.297356	1.670321
93	125	98	3.098161	1.498615
27	95	23	2.222133	1.420006
27	151	16	3.191033	1.578671
87	85	184	2.689481	1.146332
73	91	146	2.160987	1.319039
33	45	175	3.004596	1.417962
77	25	190	2.154708	1.282251
83	65	108	2.901827	1.329375
77	111	171	2.137477	1.278491
127	165	138	3.17381	1.563825
113	5	16	3.320473	1.690248
127	85	158	3.173219	1.563315
53	125	131	2.157609	1.313049
37	191	24	2.157193	1.312342
