"X","Y","Z","facies","density","porosity","permeability","Vp","Vs","Ip","Is"
103,45,122,"0",2.355695,0.0791,18.860795,3.069714,1.474094,7.23130992123,3.47251586533
103,45,123,"0",2.355398,0.0793,24.099054,3.068256,1.472837,7.226964045888,3.469117324126
103,45,124,"0",2.35955,0.0765,38.97804,3.088718,1.490475,7.2879845569,3.51685028625
103,45,125,"0",2.343386,0.0874,17.277862,3.009624,1.422296,7.052710746864,3.332988534256
103,45,126,"0",2.371266,0.0686,17.525887,3.14699,1.540705,7.46235038934,3.65342138253
103,45,127,"0",2.361478,0.0752,13.176498,3.098252,1.498693,7.316453936456,3.539130548254
103,45,128,"0",2.355843,0.079,11.390165,3.070444,1.474722,7.233484004292,3.474213500646
103,45,129,"0",2.373787,0.0669,17.980427,3.159634,1.551605,7.500298113958,3.683179778135
103,45,130,"0",2.397367,0.051,7.152321,3.279712,1.655112,7.862673318304,3.967910890104
103,45,131,"0",2.357029,0.0782,14.826546,3.076283,1.479756,7.250888243207,3.487827804924
103,45,132,"0",2.33345,0.0941,18.343829,2.961752,1.38103,6.9111002044,3.2225644535
103,45,133,"0",2.313281,0.1077,43.070509,2.866302,1.298752,6.630561956862,3.004378325312
103,45,134,"0",2.336712,0.0919,23.736681,2.977409,1.394526,6.957347339208,3.258605638512
103,45,135,"0",2.308239,0.1111,38.499049,2.842797,1.278491,6.561854904483,2.951062787349
103,45,136,"0",2.312984,0.1079,26.04174,2.864916,1.297557,6.626504869344,3.001228580088
103,45,137,"3",2.351247,0.067,10.920185,3.0479,1.45529,7.1663657313,3.42174624663
103,45,138,"3",2.349788,0.068,10.626249,3.04077,1.449143,7.14516485676,3.405178831684
103,45,139,"1",2.17452,0.284,2952.160737,2.157001,1.286158,4.69044181452,2.79677629416
103,45,140,"1",2.186537,0.2777,2975.842898,2.162673,1.295879,4.728764533401,2.833487381023
103,45,141,"1",2.209809,0.2655,2908.841114,2.174913,1.316217,4.806142321617,2.908588172553
103,45,142,"1",2.195121,0.2732,2638.153128,2.167044,1.303171,4.756923792324,2.860618028691
103,45,143,"1",2.19989,0.2707,2617.640491,2.169292,1.307188,4.77220377788,2.87566980932
103,45,144,"1",2.18463,0.2787,2568.502543,2.161647,1.294247,4.72239888561,2.82745082361
103,45,145,"3",2.358834,0.0618,11.098135,3.085179,1.487424,7.277425121286,3.508586303616
103,45,146,"3",2.356208,0.0636,9.637469,3.072237,1.476268,7.238829397296,3.478394471744
103,45,147,"2",2.251041,0.2449,1657.562833,2.180108,1.350661,4.907512492428,3.040393288101
103,45,148,"2",2.252187,0.2443,1755.537052,2.180846,1.351897,4.911673010202,3.044724848739
103,45,149,"2",2.227166,0.2574,1899.109473,2.165233,1.32598,4.822333319678,2.95317757268
103,45,150,"2",2.175596,0.2844,2217.889986,2.138433,1.280167,4.652366281068,2.785126204532
103,45,151,"2",2.179989,0.2821,1936.689509,2.140358,1.283657,4.665956896062,2.798358139773
103,45,152,"2",2.343103,0.1967,1303.977206,2.253295,1.471882,5.279702274385,3.448771129846
103,45,153,"2",2.315217,0.2113,2031.280971,2.227838,1.429887,5.157928410846,3.310498690479
103,45,154,"2",2.285039,0.2271,1262.26343,2.203899,1.390056,5.035995167061,3.176332172184
103,45,155,"2",2.281983,0.2287,2220.496025,2.201393,1.386167,5.023541402319,3.163209529161
103,45,156,"0",2.395884,0.052,7.590651,3.272063,1.648518,7.839483388692,3.949657899912
103,45,157,"0",2.360885,0.0756,7.760559,3.095316,1.496162,7.30768511466,3.53226642337
103,45,158,"0",2.394846,0.0527,30.545694,3.266716,1.643909,7.823281745736,3.936908893014
103,45,159,"0",2.374825,0.0662,8.883886,3.164852,1.556102,7.5159696509,3.69546993215
103,45,160,"0",2.386096,0.0586,12.014066,3.221906,1.605283,7.687777018976,3.830359345168
103,45,161,"0",2.392028,0.0546,5.821019,3.252236,1.631427,7.779439574608,3.902419063956
103,45,162,"0",2.411307,0.0416,9.210962,3.35226,1.717648,8.08332800382,4.141776645936
103,45,163,"0",2.415311,0.0389,10.377673,3.373315,1.735797,8.147604825965,4.192489587867
103,45,164,"0",2.392028,0.0546,9.034705,3.252236,1.631427,7.779439574608,3.902419063956
103,45,165,"0",2.380016,0.0627,9.213062,3.191033,1.578671,7.594709596528,3.757262238736
103,45,166,"0",2.380164,0.0626,5.204164,3.191784,1.579318,7.596969372576,3.759035848152
103,45,167,"0",2.394698,0.0528,13.398618,3.265953,1.643251,7.820971117194,3.935089883198
103,45,168,"0",2.39099,0.0553,29.142043,3.246913,1.626839,7.76333651387,3.88975578061
103,45,169,"0",2.36044,0.0759,12.694044,3.093115,1.494265,7.3011123706,3.5271228766
103,45,170,"0",2.377643,0.0643,11.231817,3.179045,1.568337,7.558634090935,3.728945489691
103,45,171,"0",2.354953,0.0796,25.954341,3.06607,1.470952,7.22045074471,3.464022825256
103,45,172,"0",2.364296,0.0733,29.253646,3.112225,1.510738,7.3582211186,3.571831810448
103,45,173,"0",2.342199,0.0882,17.972562,3.003878,1.417343,7.035680047722,3.319699357257
103,45,174,"0",2.372898,0.0675,23.037747,3.155167,1.547754,7.486889463966,3.672662371092
103,45,175,"0",2.366224,0.072,15.374111,3.121813,1.519002,7.386908844112,3.594298988448
103,45,176,"0",2.316099,0.1058,25.391011,2.879499,1.310128,6.669204754401,3.034386150672
103,45,177,"0",2.333746,0.0939,65.322079,2.963173,1.382255,6.915293136058,3.22583207723
103,45,178,"0",2.35436,0.08,71.208199,3.063156,1.468441,7.21177196016,3.45723875276
103,45,179,"0",2.336861,0.0918,28.560776,2.978122,1.395141,6.959457155042,3.260250592401
103,45,180,"0",2.35525,0.0794,16.77722,3.067527,1.472208,7.22479296675,3.467417892
103,45,181,"0",2.361182,0.0754,79.075146,3.096784,1.497427,7.312070638688,3.535697678714
103,45,182,"0",2.333746,0.0939,79.115213,2.963173,1.382255,6.915293136058,3.22583207723
103,45,183,"0",2.360144,0.0761,73.44124,3.091649,1.493001,7.296736837456,3.523697352144
103,45,184,"0",2.372749,0.0676,29.034878,3.154423,1.547113,7.484654018827,3.670910823637
103,45,185,"0",2.366521,0.0718,30.583698,3.123289,1.520275,7.391329007569,3.597762713275
103,45,186,"0",2.362072,0.0748,30.089156,3.10119,1.501226,7.32523406568,3.546003900272
103,45,187,"0",2.371563,0.0684,24.042521,3.148475,1.541986,7.466806816425,3.656916944118
103,45,188,"0",2.35436,0.08,23.516355,3.063156,1.468441,7.21177196016,3.45723875276
103,45,189,"0",2.380461,0.0624,26.012375,3.193285,1.580612,7.601490404385,3.762585222132
103,45,190,"0",2.407007,0.0445,7.044367,3.329754,1.698248,8.014741186278,4.087694823736
103,45,191,"0",2.416053,0.0384,7.967223,3.377224,1.739167,8.159552176872,4.201919647851
103,45,192,"0",2.394401,0.053,20.320295,3.264427,1.641936,7.816347273227,3.931453200336
103,45,193,"0",2.385503,0.059,11.63215,3.218884,1.602678,7.678657438652,3.823193177034
103,45,194,"0",2.406413,0.0449,28.730951,3.326658,1.695579,8.005313057754,4.080263348127
103,45,195,"0",2.412642,0.0407,6.74803,3.359268,1.723689,8.104711066056,4.158644476338
103,45,196,"0",2.401964,0.0479,3.749195,3.303509,1.675625,7.934909691676,4.0247909275
103,45,197,"0",2.402113,0.0478,15.214581,3.304279,1.676288,7.937251541527,4.026633196544
103,45,198,"0",2.394104,0.0532,12.900603,3.262901,1.640621,7.811724335704,3.927817298584
103,45,199,"0",2.42154,0.0347,10.307895,3.406259,1.764195,8.24839241886,4.2720687603
103,45,80,"3",2.344244,0.0718,10.923706,3.013784,1.425882,7.065045059296,3.342615323208
103,45,81,"3",2.337095,0.0767,17.387214,2.979248,1.396112,6.96278560456,3.26284637464
103,45,82,"3",2.332572,0.0798,22.239243,2.957549,1.377407,6.898695986028,3.212901000804
103,45,83,"3",2.339137,0.0753,18.053026,2.989086,1.404592,6.991881658782,3.285533117104
103,45,84,"1",2.162884,0.2901,5148.965715,2.151453,1.276968,4.653343270452,2.761933655712
103,45,85,"1",2.183294,0.2794,4990.568258,2.160917,1.293103,4.717917120598,2.823224021282
103,45,86,"1",2.168225,0.2873,4390.864144,2.15407,1.281195,4.67050842575,2.777919028875
103,45,87,"1",2.188635,0.2766,4337.80475,2.16378,1.297669,4.7357246403,2.840123791815
103,45,88,"1",2.188635,0.2766,4264.322089,2.16378,1.297669,4.7357246403,2.840123791815
103,45,89,"1",2.198936,0.2712,3404.70901,2.168853,1.306386,4.769168940408,2.872659205296
103,45,90,"1",2.208283,0.2663,3450.960593,2.174054,1.314818,4.800926489282,2.903490237494
103,45,91,"1",2.200843,0.2702,3433.681432,2.169726,1.307988,4.775226279018,2.878676233884
103,45,92,"1",2.198936,0.2712,3821.378009,2.168853,1.306386,4.769168940408,2.872659205296
103,45,93,"1",2.194167,0.2737,3865.27146,2.166579,1.302365,4.753836144693,2.857606304955
103,45,94,"1",2.176809,0.2828,3937.132221,2.158017,1.287952,4.697590827753,2.803625505168
103,45,95,"1",2.212288,0.2642,3936.950914,2.176278,1.318486,4.814553704064,2.916870755968
103,45,96,"1",2.17948,0.2814,5075.630518,2.159168,1.29004,4.70586347264,2.8116163792
103,45,97,"1",2.173566,0.2845,4591.662937,2.15657,1.285408,4.68744722862,2.793919124928
103,45,98,"1",2.183676,0.2792,4729.443047,2.161126,1.29343,4.719198979176,2.82443204868
103,45,99,"1",2.166318,0.2883,4845.180939,2.153142,1.279684,4.664390271156,2.772202483512
103,65,100,"0",2.296375,0.1191,54.270022,2.788051,1.2313,6.402410615125,2.8275265375
103,65,101,"0",2.293112,0.1213,14.798238,2.773133,1.218441,6.359104559896,2.794021678392
103,65,102,"0",2.342941,0.0877,50.771501,3.007468,1.420438,7.046320083388,3.328002428158
103,65,103,"0",2.317582,0.1048,41.632261,2.886463,1.316131,6.689614692466,3.050241515242
103,65,104,"0",2.315505,0.1062,20.253962,2.876717,1.30773,6.661052597085,3.02805535365
103,65,105,"0",2.3465,0.0853,10.752761,3.024745,1.43533,7.0975641425,3.368001845
103,65,106,"0",2.315654,0.1061,18.341717,2.877413,1.30833,6.663092923102,3.02963959782
103,65,107,"0",2.325886,0.0992,49.307161,2.925689,1.349944,6.804819085454,3.139815850384
103,65,108,"0",2.299044,0.1173,54.198841,2.800301,1.24186,6.438015212244,2.85509078184
103,65,109,"0",2.324403,0.1002,22.004424,2.918656,1.343881,6.784132762368,3.123721028043
103,65,110,"0",2.321289,0.1023,61.780298,2.903926,1.331185,6.740851480614,3.090065097465
103,65,111,"0",2.317285,0.105,51.011724,2.885069,1.31493,6.685527117665,3.04706756505
103,65,112,"3",2.343806,0.0721,16.684761,3.011661,1.424052,7.058749121766,3.337701621912
103,65,113,"3",2.351393,0.0669,13.354573,3.048614,1.455905,7.168489619302,3.423404825665
103,65,114,"0",2.330335,0.0962,78.333945,2.946863,1.368196,6.867177989105,3.18835502566
103,65,115,"0",2.310018,0.1099,55.935819,2.851077,1.285628,6.586039189386,2.969823821304
103,65,116,"0",2.303493,0.1143,78.377246,2.820805,1.259534,6.497704571865,2.901327752262
103,65,117,"0",2.301714,0.1155,41.695578,2.81259,1.252453,6.47377777926,2.882788604442
103,65,118,"0",2.291036,0.1227,76.461005,2.76367,1.210284,6.33166746212,2.772804214224
103,65,119,"0",2.289701,0.1236,40.693027,2.757599,1.205051,6.314077187899,2.759206479751
103,65,120,"0",2.354063,0.0802,14.790403,3.0617,1.467186,7.2074346871,3.453848276718
103,65,121,"0",2.358216,0.0774,12.604917,3.08213,1.484796,7.26832828008,3.501469683936
103,65,122,"0",2.351839,0.0817,12.35919,3.050797,1.457787,7.174983365683,3.428480320293
103,65,123,"0",2.328408,0.0975,6.387869,2.937674,1.360275,6.840103642992,3.1672751922
103,65,124,"0",2.369783,0.0696,5.223132,3.139569,1.534309,7.440097243527,3.635979384947
103,65,125,"0",2.345314,0.0861,10.553828,3.018978,1.430359,7.080451369092,3.354640987726
103,65,126,"0",2.325145,0.0997,19.051098,2.922171,1.346911,6.794471289795,3.131763377095
103,65,127,"0",2.33775,0.0912,14.785976,2.982403,1.398832,6.97211261325,3.270119508
103,65,128,"0",2.350356,0.0827,18.006943,3.043544,1.451535,7.153411901664,3.41162399646
103,65,129,"0",2.346797,0.0851,38.487526,3.026188,1.436574,7.101848919836,3.371347553478
103,65,130,"0",2.361182,0.0754,38.578026,3.096784,1.497427,7.312070638688,3.535697678714
103,65,131,"0",2.327814,0.0979,50.722424,2.93485,1.357841,6.8317849179,3.160801289574
103,65,132,"0",2.349763,0.0831,22.565762,3.040646,1.449037,7.144797466898,3.404893528231
103,65,133,"0",2.373787,0.0669,6.093138,3.159634,1.551605,7.500298113958,3.683179778135
103,65,134,"0",2.371118,0.0687,14.791084,3.146247,1.540065,7.460122894146,3.65167584267
103,65,135,"3",2.369776,0.0543,9.188889,3.139535,1.534279,7.43999469416,3.635897551504
103,65,136,"1",2.230219,0.2548,2385.832773,2.186707,1.335618,4.876835498833,2.978720640342
103,65,137,"1",2.207329,0.2668,2680.217262,2.17351,1.313942,4.79765165479,2.900302280918
103,65,138,"1",2.224687,0.2577,2248.640353,2.183284,1.330139,4.857123532108,2.959142941493
103,65,139,"1",2.195502,0.273,2755.116705,2.167229,1.303493,4.758155603958,2.861821488486
103,65,140,"1",2.190352,0.2757,2589.882136,2.164667,1.29913,4.741382692784,2.84555199376
103,65,141,"1",2.229647,0.2551,2620.595555,2.186363,1.335053,4.874817703861,2.976696916291
103,65,142,"3",2.364524,0.0579,6.620015,3.113357,1.511714,7.361607347068,3.574484034136
103,65,143,"2",2.298409,0.2201,964.450628,2.21375,1.406874,5.08810292375,3.233571863466
103,65,144,"2",2.270905,0.2345,2104.795953,2.193635,1.373036,4.981536689675,3.11803431758
103,65,145,"2",2.255816,0.2424,1475.978394,2.183113,1.3558,4.924701235208,3.0584353328
103,65,146,"2",2.227548,0.2572,2366.573516,2.165473,1.326365,4.823695050204,2.95454170302
103,65,147,"2",2.204055,0.2695,2128.090044,2.152152,1.304149,4.74346137636,2.874416124195
103,65,148,"2",2.23939,0.251,1293.391493,2.172397,1.338184,4.86484411783,2.99671586776
103,65,149,"2",2.278354,0.2306,1023.882217,2.198575,1.381673,5.00913214555,3.147940206242
103,65,150,"2",2.268422,0.2358,1195.005764,2.191876,1.370137,4.972099739672,3.108048913814
103,65,151,"2",2.235952,0.2528,1639.645646,2.170491,1.334772,4.853113692432,2.984486122944
103,65,152,"2",2.253524,0.2436,909.934224,2.181694,1.353337,4.916499789656,3.049777409588
103,65,153,"2",2.212459,0.2651,1132.530743,2.156984,1.311987,4.772238663656,2.902717446033
103,65,154,"2",2.211886,0.2654,1802.976225,2.156669,1.311456,4.770305967734,2.900791166016
103,65,155,"2",2.266512,0.2368,2036.666875,2.190486,1.3679,4.964762804832,3.1003617648
103,65,156,"0",2.346055,0.0856,28.70384,3.022582,1.433465,7.09114361401,3.362987730575
103,65,157,"0",2.331225,0.0956,26.044738,2.951111,1.371858,6.879703740975,3.19810966605
103,65,158,"0",2.31684,0.1053,17.995338,2.88298,1.313128,6.6794033832,3.04230747552
103,65,159,"0",2.289998,0.1234,20.413149,2.758948,1.206213,6.317985402104,2.762225357574
103,65,160,"0",2.345462,0.086,57.290155,3.019699,1.43098,7.082589255938,3.35630921276
103,65,161,"0",2.312984,0.1079,66.397236,2.864916,1.297557,6.626504869344,3.001228580088
103,65,162,"0",2.314912,0.1066,32.235915,2.873937,1.305334,6.652911248544,3.021733340608
103,65,163,"0",2.325293,0.0996,41.405687,2.922874,1.347517,6.796538452082,3.133371847481
103,65,164,"0",2.342348,0.0881,37.385225,3.004596,1.417962,7.037809431408,3.321360454776
103,65,165,"0",2.319509,0.1035,20.026728,2.895534,1.323951,6.716217172806,3.070916260059
103,65,166,"0",2.296078,0.1193,41.722469,2.786693,1.230129,6.398464490054,2.824472134062
103,65,167,"0",2.325738,0.0993,53.857972,2.924985,1.349337,6.80274876393,3.138204335706
103,65,168,"0",2.290739,0.1229,38.638477,2.76232,1.20912,6.32775415448,2.76977833968
103,65,169,"0",2.30809,0.1112,51.893146,2.842108,1.277897,6.55984105372,2.94950128673
103,65,170,"0",2.311353,0.109,57.013802,2.857298,1.290991,6.604224304194,2.983935920823
103,65,171,"0",2.354657,0.0798,30.198126,3.064613,1.469696,7.216112452741,3.460629974272
103,65,172,"0",2.316099,0.1058,100.939233,2.879499,1.310128,6.669204754401,3.034386150672
103,65,173,"0",2.330335,0.0962,58.88301,2.946863,1.368196,6.867177989105,3.18835502566
103,65,174,"0",2.292519,0.1217,58.20094,2.770427,1.216108,6.351256535613,2.787950696052
103,65,175,"0",2.323958,0.1005,132.883176,2.916548,1.342064,6.777935056984,3.118900369312
103,65,176,"0",2.324403,0.1002,290.449077,2.918656,1.343881,6.784132762368,3.123721028043
103,65,177,"0",2.317878,0.1046,130.262677,2.887857,1.317333,6.693700207446,3.053417179374
103,65,178,"0",2.311205,0.1091,251.35643,2.856607,1.290395,6.602204381435,2.982367375975
103,65,179,"0",2.301862,0.1154,94.408261,2.813274,1.253042,6.475768516188,2.884329764204
103,65,180,"0",2.334043,0.0937,54.048046,2.964594,1.38348,6.919489873542,3.22910180964
103,65,181,"0",2.336564,0.092,171.533915,2.976696,1.393912,6.955240712544,3.256964598368
103,65,182,"0",2.359402,0.0766,38.499049,3.087985,1.489843,7.28579798497,3.515138553886
103,65,183,"0",2.342348,0.0881,78.728142,3.004596,1.417962,7.037809431408,3.321360454776
103,65,184,"0",2.337305,0.0915,101.805209,2.980262,1.396986,6.96578127391,3.26518236273
103,65,185,"0",2.363851,0.0736,31.721229,3.110016,1.508834,7.351614431616,3.566658759734
103,65,186,"0",2.329149,0.097,71.55665,2.941206,1.363319,6.850507013694,3.175373085531
103,65,187,"0",2.336861,0.0918,78.373637,2.978122,1.395141,6.959457155042,3.260250592401
103,65,188,"0",2.320399,0.1029,155.904984,2.899728,1.327566,6.728525951472,3.080482818834
103,65,189,"0",2.339382,0.0901,73.034826,2.990264,1.405608,6.995369776848,3.288254054256
103,65,190,"0",2.339827,0.0898,77.904044,2.992411,1.407458,7.001724052897,3.293208229766
103,65,191,"0",2.312243,0.1084,155.442581,2.861451,1.294571,6.616370044593,2.993362732753
103,65,192,"0",2.303493,0.1143,38.578914,2.820805,1.259534,6.497704571865,2.901327752262
103,65,193,"0",2.321437,0.1022,104.443159,2.904627,1.331788,6.742908588999,3.091661939356
103,65,194,"0",2.310463,0.1096,30.196041,2.85315,1.287415,6.59209750845,2.974524723145
103,65,195,"0",2.271757,0.1357,61.202618,2.67693,1.135514,6.08133446601,2.579611878098
103,65,196,"0",2.314467,0.1069,32.536438,2.871853,1.303538,6.646808997351,3.016995684246
103,65,197,"0",2.29593,0.1194,57.671334,2.786014,1.229544,6.39649312302,2.82294695592
103,65,198,"0",2.299934,0.1167,38.506141,2.804393,1.245387,6.449918810062,2.864307904458
103,65,199,"0",2.304531,0.1136,63.091376,2.825605,1.263672,6.511694316255,2.912171297832
103,65,80,"0",2.349021,0.0836,6.787034,3.037027,1.445917,7.134040200567,3.396489397257
103,65,81,"0",2.362072,0.0748,5.825417,3.10119,1.501226,7.32523406568,3.546003900272
103,65,82,"0",2.361034,0.0755,28.705823,3.09605,1.496795,7.3098793157,3.53398388603
103,65,83,"0",2.373639,0.067,6.648015,3.158889,1.550963,7.498062127071,3.681426264357
103,65,84,"0",2.388469,0.057,17.973804,3.234013,1.615719,7.724339796097,3.859094744211
103,65,85,"0",2.363851,0.0736,10.250381,3.110016,1.508834,7.351614431616,3.566658759734
103,65,86,"0",2.359995,0.0762,19.548795,3.090916,1.49237,7.29454630542,3.52198573815
103,65,87,"0",2.36222,0.0747,17.992023,3.101925,1.501859,7.3274292735,3.54772136698
103,65,88,"0",2.364444,0.0732,10.963015,3.112962,1.511373,7.360424323128,3.573556821612
103,65,89,"0",2.38402,0.06,17.988709,3.211339,1.596175,7.65589640278,3.8053131235
103,65,90,"0",2.392621,0.0542,10.26337,3.255281,1.634052,7.788653681501,3.909667130292
103,65,91,"0",2.379423,0.0631,11.93301,3.188033,1.576085,7.585679044959,3.750172898955
103,65,92,"0",2.371859,0.0682,13.146496,3.149962,1.543267,7.471265719358,3.660411723353
103,65,93,"0",2.372898,0.0675,13.354265,3.155167,1.547754,7.486889463966,3.672662371092
103,65,94,"0",2.36133,0.0753,24.259397,3.097518,1.49806,7.31426217894,3.5374140198
103,65,95,"0",2.37097,0.0688,13.199881,3.145505,1.539425,7.45789798985,3.64993049225
103,65,96,"0",2.325293,0.0996,38.512348,2.922874,1.347517,6.796538452082,3.133371847481
103,65,97,"0",2.360144,0.0761,30.257288,3.091649,1.493001,7.296736837456,3.523697352144
103,65,98,"0",2.35525,0.0794,46.722923,3.067527,1.472208,7.22479296675,3.467417892
103,65,99,"0",2.333895,0.0938,79.13161,2.963883,1.382867,6.917391714285,3.227466376965
107,111,100,"1",2.192069,0.2748,3963.510381,2.165537,1.300587,4.747006526053,2.850976444503
107,111,101,"1",2.204277,0.2684,4636.283667,2.171732,1.311131,4.787098897764,2.890095907287
107,111,102,"1",2.190924,0.2754,3974.751666,2.164959,1.299616,4.743260632116,2.847359885184
107,111,103,"1",2.19493,0.2733,4046.97014,2.166951,1.30301,4.75630575843,2.8600157393
107,111,104,"1",2.170705,0.286,4761.348827,2.155248,1.283155,4.67840760984,2.785350974275
107,111,105,"1",2.162312,0.2904,5263.928723,2.151239,1.276555,4.651649904568,2.76031019516
107,111,106,"1",2.169179,0.2868,5111.63694,2.154527,1.28195,4.673554723333,2.78077901905
107,111,107,"1",2.150485,0.2966,5117.878837,2.146465,1.267951,4.615940785525,2.726709606235
107,111,108,"1",2.152775,0.2954,5526.243282,2.147439,1.269626,4.622952993225,2.73321911215
107,111,109,"1",2.153919,0.2948,5235.401583,2.147918,1.270462,4.626441390642,2.736472240578
107,111,110,"1",2.154873,0.2943,5259.324893,2.148312,1.271158,4.629339524376,2.739184052934
107,111,111,"1",2.167081,0.2879,4867.321124,2.153515,1.280289,4.666841439715,2.774489966409
107,111,112,"1",2.152202,0.2957,5101.524774,2.147198,1.269208,4.621203829996,2.731591996016
107,111,113,"1",2.171468,0.2856,5521.537169,2.155605,1.283756,4.68082727814,2.787635073808
107,111,114,"0",2.276947,0.1322,130.265677,2.700083,1.155472,6.147945886601,2.630948503984
107,111,115,"0",2.262859,0.1417,73.471685,2.637578,1.101593,5.968467115502,2.492749634387
107,111,116,"0",2.314764,0.1067,38.554937,2.873242,1.304735,6.650877144888,3.02015360754
107,111,117,"0",2.313281,0.1077,73.434476,2.866302,1.298752,6.630561956862,3.004378325312
107,111,118,"0",2.320844,0.1026,61.274532,2.901827,1.329375,6.734687781988,3.0852719925
107,111,119,"0",2.302307,0.1151,61.219531,2.815327,1.254812,6.481747059389,2.888962451284
107,111,120,"0",2.314319,0.107,60.120142,2.871159,1.302939,6.644777825721,3.015416483541
107,111,121,"0",2.355843,0.079,65.674988,3.070444,1.474722,7.233484004292,3.474213500646
107,111,122,"0",2.323514,0.1008,73.498758,2.914442,1.340249,6.771746789188,3.114087314986
107,111,123,"0",2.308239,0.1111,175.747842,2.842797,1.278491,6.561854904483,2.951062787349
107,111,124,"0",2.313281,0.1077,179.762873,2.866302,1.298752,6.630561956862,3.004378325312
107,111,125,"0",2.276799,0.1323,105.21799,2.69942,1.1549,6.14603675658,2.6294751651
107,111,126,"0",2.276502,0.1325,61.163172,2.698093,1.153756,6.142214110686,2.626527841512
107,111,127,"0",2.318026,0.1045,61.127974,2.888554,1.317934,6.695743274404,3.055005278284
107,111,128,"0",2.334636,0.0933,38.498162,2.967438,1.385932,6.927887582568,3.235646740752
107,111,129,"0",2.351097,0.0822,41.45434,3.047169,1.454659,7.164189894393,3.420044410923
107,111,130,"0",2.345017,0.0863,79.111569,3.017538,1.429117,7.076177908146,3.351303659989
107,111,131,"0",2.336712,0.0919,30.458604,2.977409,1.394526,6.957347339208,3.258605638512
107,111,132,"0",2.311205,0.1091,32.18474,2.856607,1.290395,6.602204381435,2.982367375975
107,111,133,"0",2.364741,0.073,28.715739,3.114436,1.512644,7.364834501076,3.577011285204
107,111,134,"0",2.345759,0.0858,139.733327,3.02114,1.432223,7.08686634526,3.359649992257
107,111,135,"0",2.320844,0.1026,78.949612,2.901827,1.329375,6.734687781988,3.0852719925
107,111,136,"0",2.289256,0.1239,101.099731,2.755578,1.203308,6.308223469968,2.754680058848
107,111,137,"0",2.306163,0.1125,119.07758,2.83316,1.270184,6.53372876508,2.929251343992
107,111,138,"0",2.291184,0.1226,52.616263,2.764345,1.210866,6.33362303448,2.774316805344
107,111,139,"0",2.318026,0.1045,215.094844,2.888554,1.317934,6.695743274404,3.055005278284
107,111,140,"0",2.300082,0.1166,78.728142,2.805076,1.245975,6.451904816232,2.86584466995
107,111,141,"0",2.301862,0.1154,153.345134,2.813274,1.253042,6.475768516188,2.884329764204
107,111,142,"0",2.325441,0.0995,78.384465,2.923577,1.348124,6.798605822457,3.134982822684
107,111,143,"0",2.280655,0.1297,95.549848,2.716711,1.169805,6.195880525705,2.667921622275
107,111,144,"0",2.286735,0.1256,95.563049,2.744144,1.193452,6.27513012984,2.72910845922
107,111,145,"0",2.292964,0.1214,37.956836,2.772456,1.217857,6.357141799584,2.792502258148
107,111,146,"0",2.320696,0.1027,96.934863,2.901127,1.328771,6.732633824392,3.083673544616
107,111,147,"0",2.275761,0.133,213.181739,2.694778,1.150899,6.132670676058,2.619171059139
107,111,148,"0",2.262711,0.1418,95.530049,2.636926,1.10103,5.966601466386,2.49131269233
